userRating,reviewText
4.0,No issues.
5.0,"Purchased this for my device, it worked a advertised. You can never have too much phone memory, since I download a lot of stuff this wa a no brainer for me."
4.0,it work a expected. I should have sprung for the higher capacity. I think it made a bit cheesier than the earlier versions; the paint look not a clean a before
5.0,"This think ha worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one ha held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few month and have had ZERO issue's since it wa transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!"
5.0,"Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both card in working order, probably best price you'll get for a nice sd card"
5.0,It's mini storage. It doesn't do anything else and it's not supposed to. I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB. It doe what it's supposed to and SanDisk ha a long standing reputation that speaks for itself.
5.0,I have it in my phone and it never skip a beat. File transfer are speedy and have not had any corruption issue or memory fade issue a I would expect from the Sandisk brand. Great card to own. Why entrust your precious file to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple buck on a trusted product that go through good QA?
5.0,It's hard to believe how affordable digital ha become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction le than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.
5.0,"Works in a HTC Rezound. Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues."
5.0,"in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required word though"
5.0,"I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia image with a fast transfer rate of Class 10 speed. It can take game with large file very easily and still have enough space for apps. It&#34;s great for video camera and camcorder with the supplied adapter. Fits very easily into smartphones and tablet SD Card slots. I recommend this 32GB SD Card to everyone."
3.0,"It works, but file writes are a bit slower than expected on a USB3 reader.Also, both read and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s v 10 write; 45 MB/s v 22 MB/s read) on the same card reader. Can't figure why..."
5.0,THE NAME OF ITSELF SPEAKS OUT. GO SANDISK GO!
5.0,"Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), ha great capacity, and is reasonably priced. I have had no issue with it.Overall, highly recommend."
5.0,"Heard that the card's write speed is insufficient, however I have used it extensively and haven't had a single problem with it!!"
5.0,"I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issue with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed."
5.0,got this because i had a 2 GB one that filled up. i kept getting the insufficient disk space on my phone. my kid take my phone and do selfies. mostly my daughter. I had to get a bigger card. the 2GB one wa a carry over from an old phone.needless to say this wa sweet. plenty of space. and i dont have to delete picture anymore. well for now at least.my daughter love selfies.
5.0,"Class 10 Speed Rating for Seamless Full HD VideoThe SanDisk Ultra UHS-I card feature a Class 10 and UHS Speed Class 1 (U1) rating, the highest video performance available for recording uninterrupted Full HD** video.Flawless App PerformanceThis card can retrieve stored data almost instantly, thanks to it up to 30MB/s read capability and fast bus interface. The SanDisk Ultra microSDHC and microSDXC UHS-I card offer faster app loading and smoother, more fluid app performance.Storage Capacities Up to 64GBThis card ha plenty of room to accommodate Full HD videos, MP3s, apps, and other memory-intensive mobile files. Available in size up to 64GB, it can store all the apps, music, and video you want.Android App for Easy File ManagementThe included SanDisk Memory Zone app let you easily view, access, and backup all of your digital file from your phone's memory, additional memory card, and cloud service all in one convenient place. Using the app, you can easily move file from your card to a number of cloud storage services.Durable DesignSanDisk Ultra UHS-I memory card can capture memory from -13 to 185 degree Fahrenheit with a shockproof, waterproof, and X-ray-proof design. Your mobile device may not survive, but your SanDisk memory card will."
5.0,The read and write speed are better than the Samsung SD card that I had previously. I would not hesitate to buy another one of these great Micro SD card from SanDisk. I also own their Clip plus MP3 player and it work very well. I think I'm becoming a fan of the SanDisk products.
5.0,This work with the NL1520. No video stuttering like with the 64gb. Blah blah blah blah to fill in the rest.
5.0,Works a expected. High transfer speed. Nice to have extra microSD adapter lying around since I always seem to misplace them. Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my image on a larger screen.
5.0,"Works great in a Samsung Galaxy S3. Formatted straight away, full size there. I can't really tell the speed difference between this one and a slower card it replaced. I guess the IO in the phone can't take advantage."
5.0,SanDisk never disappoints. As always SanDisk product are worth every penny. Nice product and quality and work great. I recommend this product to everyone.
5.0,"Good price, work flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand.."
5.0,San disk is hard to beat. You will pay more for the brand but you get a quality product. Would purchase again.
5.0,Installed in my Blackberry Q10 SQN100-1 and formatted. Works just fine. Plenty of storage space for picture and video of my son at the park.
5.0,"I just received my card, it is the class 10 64GB with the correct serial#SDSDQUA-064G-A11A. I received it in an unopened SanDisk packaging. I am going to use it on my HTC Rezound, I hope it works. From what I have read, it will work after reformatting the disk. I will update this review if I have any issue using it, if not, my rating will remain unchanged..."
5.0,"Stuck it in my S2, formatted in settings, work great! Already filled with music, pic and videos... Get this card, format it right, and you'll have no problems. If your phone won't do it right, should have got a Samsung! haha..."
